Name X Y BlueF GreenF RedF Size RadialVelocity
DG1437 7.0737 40.7715 1.129e-25 2.629e-27 1.324e-32 376.9568 290.36
DG1438 8.2782 41.4158 4.836e-15 3.772e-15 1.615e-15 348.8493 291.47
DG1439 8.3044 40.4023 3.353e-15 2.685e-15 1.219e-15 314.5592 290.68
DG1440 7.1576 40.3935 6.039e-15 4.914e-15 2.090e-15 304.8474 290.13
DG1441 7.2505 39.6281 4.415e-15 3.333e-15 1.434e-15 293.491 291.57
DG1442 6.8521 40.9632 4.295e-15 3.390e-15 1.500e-15 245.4452 291.21
DG1443 6.8835 40.8443 4.522e-15 3.939e-15 1.711e-15 344.6873 291.61
DG1494 -0.1155 -20.1819 1.681e-16 1.347e-16 6.408e-17 64.0438 1301.7
DG1504 -2.0323 -4.2937 1.575e-14 1.199e-14 4.964e-15 469.7725 131.5
DG1505 -2.1269 -3.1997 1.475e-14 1.071e-14 4.739e-15 417.5641 131.19
DG1506 -2.2634 -4.1752 1.089e-14 8.894e-15 3.935e-15 371.2239 130.21
DG1507 -1.3131 -3.4830 8.103e-15 6.141e-15 2.672e-15 411.5238 131.73
DG1515 25.1765 9.2136 2.350e-15 1.714e-15 5.965e-16 306.1099 652.45
DG1516 24.9164 9.5716 9.068e-16 7.289e-16 3.366e-16 136.9486 652.69
DG1517 25.2127 8.7876 5.266e-26 1.328e-27 6.590e-33 124.9112 653.81
DG1518 25.3969 9.2361 8.462e-16 6.675e-16 2.877e-16 99.9882 652.01
DG1519 25.3746 8.8722 8.347e-16 6.966e-16 3.230e-16 126.1023 650.79
DG1520 25.5755 9.5459 8.057e-16 6.578e-16 2.864e-16 122.2729 651.11
DG1521 24.8606 9.0703 7.793e-16 6.227e-16 2.990e-16 100.5468 653.67
DG1522 25.6071 9.3563 8.619e-16 6.840e-16 2.954e-16 120.9504 652.54
DG1523 24.9182 9.4126 7.562e-16 6.690e-16 2.915e-16 121.684 652.95
DG1524 25.3682 9.5444 7.555e-16 6.373e-16 2.824e-16 113.9014 650.39
DG1632 3.4003 -38.0060 3.108e-15 2.535e-15 1.180e-15 380.5842 303.96
DG1672 -22.5382 7.7696 2.945e-16 2.405e-16 1.091e-16 66.2708 1127.05
